segment,n_points,type,method,linearity,planarity,sphericity,curvature_mean,normal_consistency,n_components,rmse,hausdorff_p95,chamfer,n_artifacts,watertight,n_vertices,n_triangles,file
2,507,complex,poisson,0.07147697649081541,0.5441977874831966,0.38432523602598795,0.07533209615205193,0.8947410794843331,16,0.025085417113040718,0.11723881438086135,0.08212223202296785,3,False,4263,8249,valve_0001_lidar_classes.ply
3,78,tube,ball_pivoting,0.8177255644099983,0.15790573826007398,0.024368697329927635,0.06205239750479796,0.9380842421545403,1,0.009704877365983992,0.020786720592812252,0.0178191387792844,1,False,78,93,valve_0001_lidar_classes.ply
5,1611,complex,poisson,0.30750401568737085,0.6306749124329062,0.06182107187972299,0.10034737423227952,0.8148564119971591,1,0.02126282591921374,0.2798101908397128,0.12522530426768402,4,False,7686,15091,valve_0001_lidar_classes.ply
6,406,complex,poisson,0.04560353220952708,0.44315274897082474,0.5112437188196481,0.08460704882467403,0.852402533079409,17,0.025618655326110393,0.13187754529385315,0.08436590145074217,4,False,4396,8426,valve_0001_lidar_classes.ply
7,96,tube,ball_pivoting,0.9769655555532478,0.006847326318005448,0.016187118128746673,0.08423977934472711,0.8713160423845304,2,0.009919643612736657,0.017808366443184447,0.01717534910634548,2,False,96,120,valve_0001_lidar_classes.ply
8,1421,complex,poisson,0.3812332238612584,0.584349230083255,0.03441754605548652,0.062372381669072566,0.9282884211441095,2,0.014931520117726697,0.20460834721415702,0.07275771708399553,3,False,5641,11140,valve_0001_lidar_classes.ply
9,2154,complex,poisson,0.272533493307013,0.6765853337251139,0.050881172967873145,0.05961815101072555,0.9349229304677723,3,0.012604747001714363,0.0963116508760111,0.03565591702644788,2,False,6296,12517,valve_0001_lidar_classes.ply
10,3562,complex,poisson,0.2516593994132475,0.2777516639060546,0.4705889366806979,0.04393429238348176,0.9660493555322408,4,0.010943676880838752,0.052733101326753816,0.02548828051682197,3,False,8256,16348,valve_0001_lidar_classes.ply
11,737,plane,alpha_shape,0.2734442092843533,0.7001919275969205,0.026363863118726245,0.03419048580186145,0.9731207407375363,1,0.011446760757609758,0.019324293922955576,0.01983550751495978,1,False,636,1406,valve_0001_lidar_classes.ply
12,1248,plane,alpha_shape,0.13850595707605312,0.782102530930673,0.07939151199327393,0.04386181646567557,0.9635497822065434,1,0.011867953527701874,0.02083055747893765,0.021095770647131654,1,False,1060,2360,valve_0001_lidar_classes.ply
13,737,complex,poisson,0.07949933372734377,0.4911920633281139,0.4293086029445424,0.08290441897481193,0.8947009888763714,1,0.012616522421399755,0.032579202791527935,0.023501173831355877,1,False,2981,5748,valve_0001_lidar_classes.ply
2,640,complex,poisson,0.11415493589515766,0.4284868997261277,0.4573581643787147,0.07719171644464415,0.8782759728765329,18,0.029394038151610707,0.1562165361413997,0.09678248533224913,7,False,5589,10849,valve_0002_lidar_classes.ply
5,1658,complex,poisson,0.34784795104924143,0.5761808082322795,0.07597124071847917,0.0925791601270955,0.8257823096003802,1,0.018943534522405093,0.1780301552527343,0.08157691176337323,4,False,6951,13704,valve_0002_lidar_classes.ply
6,511,complex,poisson,0.38093275708329366,0.21708889766209455,0.40197834525461174,0.05954926634920654,0.9234615978222386,15,0.028016642377550773,0.14082443303119968,0.08747445422217301,5,False,5049,9807,valve_0002_lidar_classes.ply
7,75,tube,ball_pivoting,0.9694925280831616,0.01490569077146683,0.015601781145371588,0.08796146604301991,0.8390165019184328,2,0.011576212994149801,0.023008490924062756,0.019502181134854628,4,False,75,62,valve_0002_lidar_classes.ply
8,1830,complex,poisson,0.3109396233064949,0.6472659973781798,0.04179437931532535,0.05268832625643933,0.946608873799225,1,0.013561729819390743,0.15637747178376263,0.05391874918651193,1,False,5844,11625,valve_0002_lidar_classes.ply
9,1598,complex,poisson,0.28520963994027354,0.6632451972173197,0.05154516284240685,0.0637870205639653,0.9280676195812226,1,0.013630341909861508,0.0937126130323109,0.03995886583525661,3,False,5679,11218,valve_0002_lidar_classes.ply
10,3458,complex,poisson,0.2098918768041361,0.30198879798525513,0.48811932521060875,0.041815321040821925,0.9711694623933153,3,0.01086959178949297,0.04335947835894476,0.02277157844456807,1,False,8055,15924,valve_0002_lidar_classes.ply
11,535,plane,alpha_shape,0.4546398433542937,0.5251051820285846,0.020254974617121755,0.03497303507875141,0.9746637033684713,6,0.012784788694813667,0.027175616820656237,0.02271544511083977,3,False,490,1078,valve_0002_lidar_classes.ply
12,1217,plane,alpha_shape,0.15881158023421302,0.776355881106446,0.0648325386593409,0.046427586197188585,0.959340732538649,1,0.012215275232357756,0.02193395873458249,0.022118747707822472,1,False,1007,2196,valve_0002_lidar_classes.ply
13,740,complex,poisson,0.15161532946947234,0.4379076117684492,0.4104770587620784,0.07585780726692994,0.9121875911334674,1,0.013079101816225553,0.031206174180534202,0.023927434912664414,3,False,3032,5845,valve_0002_lidar_classes.ply
2,655,complex,poisson,0.1968252846315575,0.42246583139171434,0.3807088839767282,0.07284994504988965,0.8831137424834077,16,0.025226133052069832,0.13688043508277925,0.08240141174904214,7,False,4808,9273,valve_0003_lidar_classes.ply
3,69,complex,poisson,0.840590295960783,0.13595206801529755,0.02345763602391935,0.04980711362422151,0.9567559211555777,1,0.010038252517271752,0.06375458849489256,0.03692775205429293,8,False,1466,2766,valve_0003_lidar_classes.ply
5,1646,complex,poisson,0.21386952971435055,0.7170932792005453,0.06903719108510409,0.09721225701668819,0.8088679456635747,1,0.01791697167922215,0.1460100811861274,0.06967463166584476,5,False,6411,12652,valve_0003_lidar_classes.ply
6,357,complex,poisson,0.3904392028051091,0.24131903199867044,0.3682417651962205,0.07201491607607872,0.9155265402039506,20,0.03189399250498161,0.1571888942945398,0.10068173838040867,8,False,4312,8243,valve_0003_lidar_classes.ply
7,71,tube,ball_pivoting,0.9687754659408007,0.012280668956748871,0.01894386510245056,0.07461751673596677,0.8992174153894751,2,0.01110397100239348,0.02430450765753884,0.0187615695495018,2,False,71,86,valve_0003_lidar_classes.ply
8,1470,complex,poisson,0.45063328895133337,0.5159118496855226,0.03345486136314407,0.05722106727153107,0.9390921850655509,2,0.015317207307897984,0.16958659936886356,0.07065531291352493,4,False,5571,11025,valve_0003_lidar_classes.ply
9,1860,complex,poisson,0.326728540057908,0.6282000964388457,0.04507136350324627,0.06516162586251077,0.9218401838004673,1,0.01316183789109172,0.16932078382560065,0.054563600905987344,1,False,5892,11686,valve_0003_lidar_classes.ply
10,3806,complex,poisson,0.11572904221682938,0.4621021541324055,0.4221688036507651,0.04486181454839705,0.9652644413780475,9,0.010990673636311472,0.05180511622719745,0.025544241986571674,6,False,9063,17868,valve_0003_lidar_classes.ply
11,595,complex,poisson,0.555156563159077,0.42082591614083115,0.02401752070009184,0.03334523012118309,0.9691565400919769,3,0.021805939793893912,0.23624476449544435,0.11446395059041886,2,False,4329,8405,valve_0003_lidar_classes.ply
12,1452,plane,alpha_shape,0.059787195474212414,0.8724016862091882,0.06781111831659936,0.04785017091552348,0.9589052149766846,1,0.011973693791798334,0.020638555936280077,0.021763090021417766,1,False,1181,2552,valve_0003_lidar_classes.ply
13,732,complex,poisson,0.0947566531817841,0.4544057979490369,0.450837548869179,0.08174888153996929,0.89888566968836,1,0.011989089407780179,0.031667429238403114,0.021860200471996605,1,False,2913,5624,valve_0003_lidar_classes.ply
2,324,tube,ball_pivoting,0.5308435086415705,0.27341338733729953,0.19574310402113002,0.07068290135381078,0.9137571568637649,13,0.025703357687513445,0.03517404158973443,0.0269074749248708,8,False,324,374,valve_0004_lidar_classes.ply
3,79,tube,ball_pivoting,0.8109817738554859,0.16569257139713361,0.023325654747380457,0.05725194627958747,0.9244222132776541,1,0.010437055607268072,0.021812997021995205,0.01867534069101004,1,False,79,115,valve_0004_lidar_classes.ply
5,1448,complex,poisson,0.23916179239019203,0.6826390330504882,0.07819917455931968,0.09641224178314778,0.8335628111475005,1,0.019656397201453298,0.1745755299293815,0.081739872134753,2,False,6081,11978,valve_0004_lidar_classes.ply
6,433,tube,ball_pivoting,0.6658963947264941,0.1297770275708763,0.2043265777026296,0.07514454188624052,0.9026993602713056,12,0.011526733700059239,0.0202098876297791,0.01963325757644463,12,False,433,545,valve_0004_lidar_classes.ply
7,68,tube,ball_pivoting,0.9527892418876649,0.021102909771668926,0.02610784834066616,0.05213427112150752,0.8993854701317877,3,0.011521399021925477,0.031509906343753454,0.02126183494957853,2,False,68,75,valve_0004_lidar_classes.ply
8,1461,complex,poisson,0.3953024047765503,0.540635126437571,0.0640624687858787,0.05643042529343084,0.9391653564242303,1,0.015677201586563473,0.17478539893196743,0.061186134576796114,8,False,4675,9188,valve_0004_lidar_classes.ply
9,1801,tube,ball_pivoting,0.5309683879384186,0.4266735001494364,0.04235811191214492,0.06793596527511324,0.9267821476261565,1,0.011414276376541726,0.01954376365119113,0.019623902189757098,4,False,1801,2210,valve_0004_lidar_classes.ply
10,3118,complex,poisson,0.42109697394859136,0.1726092467618192,0.40629377928958943,0.0526002918395041,0.9577221843366439,2,0.011764424420537364,0.053033918994056635,0.02640608241867478,2,False,7733,15255,valve_0004_lidar_classes.ply
11,716,plane,alpha_shape,0.16457639209122554,0.8077665593143945,0.027657048594379962,0.038427388356594615,0.9767282198875022,2,0.01265637252924007,0.0208308694730528,0.020620978896006288,1,False,622,1372,valve_0004_lidar_classes.ply
12,1333,plane,alpha_shape,0.1709436258336041,0.7519447001992438,0.07711167396715217,0.04881743887679389,0.95514084654826,1,0.012910037155068062,0.023420532064329664,0.02278795273856095,1,False,1086,2412,valve_0004_lidar_classes.ply
13,720,complex,poisson,0.07516366735182095,0.5778180305906848,0.3470183020574942,0.08623914457138458,0.8730933764295871,1,0.01340246327627702,0.04017463951051956,0.02503129185622367,1,False,2706,5234,valve_0004_lidar_classes.ply
2,421,complex,poisson,0.48351496701534225,0.19288650301275637,0.3235985299719014,0.0754601769426475,0.8899275788561317,16,0.02941747415075213,0.1734783220311112,0.10394208588437519,12,False,4738,9102,valve_0005_lidar_classes.ply
3,71,tube,ball_pivoting,0.8646957472050519,0.10854805779242266,0.026756195002525417,0.0954952869330449,0.9066768502358126,2,0.00943871226792186,0.04371429233346519,0.02310074884298778,1,False,71,91,valve_0005_lidar_classes.ply
5,1571,complex,poisson,0.3254631222475881,0.5994723334813051,0.07506454427110677,0.10227813641103978,0.8148717438101483,1,0.021172603066122418,0.24337922655957084,0.11682226722358763,5,False,7358,14435,valve_0005_lidar_classes.ply
6,331,complex,poisson,0.3441015679945772,0.34979606917391876,0.3061023628315041,0.08435159230326197,0.8955256547959669,18,0.029106049822347962,0.14388109439137975,0.08667015191454402,9,False,3782,7233,valve_0005_lidar_classes.ply
7,55,tube,ball_pivoting,0.9833421142134453,0.0009961409158383574,0.01566174487071638,0.10501245541601507,0.8449011384792502,3,0.016066210737786135,0.07550695737070973,0.03771440528097525,3,False,55,36,valve_0005_lidar_classes.ply
8,1883,complex,poisson,0.46518413652739116,0.4891750592741062,0.04564080419850268,0.06235641220971073,0.930037374296747,2,0.01183012458229567,0.048756712237284276,0.0261758979328698,3,False,5107,10111,valve_0005_lidar_classes.ply
9,901,plane,alpha_shape,0.38745097454478844,0.577896050243104,0.03465297521210762,0.04992595470833074,0.9486725843876823,2,0.01347528108256038,0.028874533371965532,0.0245978246501828,1,False,725,1538,valve_0005_lidar_classes.ply
